Affiliation,Percentage of authors,Authors
Center for Democracy and Technology,0.02%,2
Center for Discrete Mathematics and,0.01%,1
Center for Information Technology Integration,0.01%,1
Center for Internet Security,0.02%,3
Center for Internet Security (CIS),0.01%,1
Center for Sutton Movement Writing,0.01%,1
Centergate,0.01%,1
Centero,0.01%,1
Centigram Communications,0.01%,1
CENTR,0.01%,1
Centraal Corporation,0.01%,1
Central Bank of Canada,0.01%,1
Central Research Laboratory,0.01%,1
CentralNic,0.01%,1
CentralNic Group plc,0.01%,1
Centre for Internet and Human Rights,0.01%,1
Centre for Internet and Society,0.01%,1
Centre for Research and Innovation Hellas,0.01%,1
Centre for Wireless,0.01%,1
Centre National de la Recherche Scientifique,0.01%,1
CENTRIA,0.01%,1
Centro Svizzero Calcolo Scientifico,0.01%,1
Century Link,0.01%,1
CenturyLink,0.03%,4
CERN,0.05%,7
CERNET,0.05%,6
CERNET Center/Tsinghua,0.07%,9
CERNET Center/Tsinghua University,0.02%,3
CERT,0.01%,1
CERT Coordination Center,0.01%,1
CERT Network Situational,0.01%,1
"CERT, Software Engineering Institute, Carnegie Mellon University",0.01%,1
CERT.at,0.01%,1
CERT/NetSA,0.01%,1
CERT/SEI/CMU,0.01%,1
CertCo,0.01%,1
CERTH,0.02%,3
Certicom,0.02%,3
Certicom Corp,0.02%,2
Certicom Corp.,0.04%,5
CESG,0.02%,2
CESNET,0.03%,4
CETC,0.01%,1
CETC 30,0.04%,5
Cetus Networks,0.01%,1
ch. Zhu,0.02%,2
Chaincomp,0.02%,2
Chair,0.01%,1
Chairman,0.01%,1
Chalmers University,0.01%,1
Chalmers University of Technology,0.01%,1
Changchun University of Science and Technology,0.02%,3
Changqing Yuan,0.01%,1
Chantry Networks,0.02%,2
Charles E. Perkins,0.02%,3
Charles Monia,0.01%,1
Charlotte's Web Networks,0.01%,1
Charter,0.04%,5
Charter Communications,0.04%,5
Check Point,0.02%,3
Check Point Software,0.02%,2
Check Point Software Technologies,0.01%,1
Chek,0.01%,1
Chelsio Communications,0.02%,3
Chemical Abstract Services,0.01%,1
Chemical Abstracts Service,0.01%,1
Chesapeake Computer Consultants,0.01%,1
Chief Scientist,0.01%,1
China Academy of,0.01%,1
China Academy of Information and Communications Technology,0.02%,2
China Academy of Information and Communications Technology,0.08%,10
China Academy of Information Communications Technology,0.01%,1
China Academy of Telecom,0.01%,1
China Academy of Telecom. Research,0.01%,1
China Academy of Telecommunication,0.02%,2
China Academy of Telecommunication Research,0.01%,1
China Automotive Innovation Corporation,0.02%,2
China Broadcast Mobile Network Company,0.01%,1
China Cache,0.01%,1
China CAICT,0.02%,2
China CATR,0.03%,4
China Electric Power Research Institute,0.01%,1
China Future Internet Engineering Center,0.01%,1
China Information Communication Technologies Group,0.03%,4
China Internet Network Information,0.01%,1
China Mobile,1.03%,137
China Mobile (Hangzhou) Information Technology Co.,0.01%,1
China Mobile Communication,0.02%,3
China Mobile Communication Corporation,0.01%,1
China Mobile Communications Corporation,0.02%,2
China Mobile Group Design Institute,0.01%,1
China Mobile Hong Kong,0.02%,2
China Mobile Research Institute,0.02%,2
China Mobile Research Istitute,0.02%,3
China Mobile/BUPT,0.01%,1
China Moblie,0.02%,2
China Monile,0.02%,2
China SAPPRFT,0.02%,2
China SARFT,0.01%,1
China Southern Power Grid,0.02%,2
China Telcom Co.,0.01%,1
"China Telcom Co., Ltd",0.02%,2
China Telecom,0.83%,110
China Telecom Beijing Research,0.02%,3
China Telecom Beijing Research Institute,0.02%,2
China Telecom Co.,0.01%,1
"China Telecom Co., Ltd",0.02%,3
China Telecom Research Institute,0.02%,2
China Telecom-Guangzhou Institute,0.01%,1
China Unicom,0.28%,37
China Unicom Research Institute,0.02%,3
China University of Petroleum-Beijing at Karamay(CUPK),0.02%,2
ChinaMobile,0.06%,8
Chinaunicom,0.01%,1
Chinese Academy of Science,0.02%,2
Chinese Academy of Sciences,0.02%,2
CHiPES,0.02%,2
ChongQing University,0.05%,6
Chongqing University of,0.16%,21
Chosen Few Software,0.01%,1
Christian Tena,0.01%,1
Christophe Diot,0.01%,1
Chromisys,0.01%,1
Chromium Project,0.01%,1
Chronosphere,0.01%,1
Chrysler Corporation,0.01%,1
CHT-TL,0.02%,2
Chungnam National University,0.03%,4
CICNet,0.01%,1
CICS-CERT,0.01%,1
CICT,0.03%,4
"CICT, PCL",0.01%,1
Ciena,0.17%,23
Ciena Coroporation,0.01%,1
Ciena Corp,0.02%,2
Ciena Corp.,0.01%,1
Ciena Corporation,0.11%,14
Ciena Corporation.,0.01%,1
Ciena Limited,0.01%,1
Ciena Networks,0.02%,2
Cinarra Systems,0.01%,1
Cinea Corp.,0.01%,1
Cingular Wireless,0.02%,2
CIO Austria,0.01%,1
CIRA,0.04%,5
CIRA Labs,0.01%,1
Circa Communications,0.01%,1
CIRCE Technology Center,0.01%,1
CIRCL,0.01%,1
Circular Logic,0.01%,1
Circular Logic Un,0.01%,1
Circular Networks,0.01%,1
Cirrus Data Solutions,0.01%,1
CIS,0.02%,2
CIS India,0.01%,1
CIS-KIEV,0.01%,1
Cisco International Limited,0.01%,1
Cisco Meraki,0.05%,6
Cisco Networks,0.02%,2
Cisco ODC,0.01%,1
Cisco Photonics Srl,0.01%,1
Cisco Syestems,0.01%,1
Cisco Sys.,0.01%,1
Cisco Systems,7.49%,992
Cisco Systems International Sarl,0.01%,1
Cisco Systems K.K.,0.01%,1
"Cisco Systems,",0.04%,5
Cisco Systems.,0.02%,2
Cisco Technologies,0.01%,1
Cisco Technology Center,0.01%,1
Cisco/University of Oregon,0.01%,1
"CISE, University of Florida",0.02%,2
CISPA Helmholtz Center for Information Security,0.01%,1
CITC,0.01%,1
Citel Technologies,0.02%,2
Citex Software,0.01%,1
CITI,0.02%,2
"CITI, University of Michigan",0.01%,1
Citicorp,0.01%,1
Citigroup,0.01%,1
CiTR Pty,0.01%,1
Citrix,0.03%,4
Citrix R&D India.,0.01%,1
Citrix Systems,0.02%,2
City University Hong Kong,0.01%,1
City University of Hong Kong,0.03%,4
City University of London,0.01%,1
City University of New York,0.01%,1
"City, University of London",0.01%,1
ck technology concepts,0.01%,1
Claddagh Films,0.01%,1
ClaimID,0.01%,1
Claranet,0.02%,2
Claranet Limited,0.01%,1
Clausthal University of Technology,0.01%,1
Clearcast,0.01%,1
Clearswift,0.01%,1
Clearswift Corporation,0.01%,1
CleverReach GmbH & Co. KG,0.01%,1
CleverSpoke,0.01%,1
Clipcode.com,0.01%,1
Cloud Identity,0.01%,1
Cloud Registry,0.01%,1
Cloud Software Group Holdings,0.02%,2
Cloudera,0.01%,1
Cloudflare,0.20%,27
Cloudflare Portugal,0.01%,1
Cloudmark,0.02%,2
Cloudshield,0.01%,1
Clubhouse,0.01%,1
CMCC,0.08%,10
CMRG,0.01%,1
CMU,0.08%,11
CMU SEI,0.02%,3
CMU/INI,0.02%,2
CNCERT,0.01%,1
CNCERT/SD,0.01%,1
CNES,0.02%,2
"CNES, Telecom Bretagne",0.01%,1
CNES/TAS/TESA,0.01%,1
CNIC,0.05%,7
"CNIC, CAS",0.02%,3
CNIDR,0.02%,2
CNIT,0.02%,3
CNNIC,0.33%,44
CNNIC-Farsight Joint Laboratory,0.02%,2
CNRI,0.06%,8
CNRS,0.02%,2
CNRS/LIMOS Laboratory,0.01%,1
Co-Author,0.01%,1
Co-Author/Editor,0.01%,1
Co-Editor,0.02%,2
Coalition for Networked Information,0.01%,1
Cobenian,0.01%,1
Cobham Analytic Solutions,0.01%,1
Codalogic,0.01%,1
Code On Network Coding,0.02%,3
Code On The Road,0.01%,1
Codebay,0.01%,1
codelabs,0.01%,1
Coding Rights,0.01%,1
Cogent Force,0.01%,1
Cognitive Research Labs,0.01%,1
Cohesity,0.01%,1
Cohesive Networks,0.01%,1
CohortFS,0.01%,1
Coinbase,0.01%,1
Colgate University,0.01%,1
Collecta,0.01%,1
College of Technology,0.01%,1
College of William and Mary,0.01%,1
Coloma Communications,0.01%,1
Colorado State,0.01%,1
Colorado State University,0.05%,6
Colt,0.01%,1
COLT Internet,0.01%,1
COLT Technology Services,0.02%,3
Colt Telecom,0.01%,1
Colubris Networks,0.01%,1
Columbia U,0.01%,1
Columbia U.,0.05%,6
Columbia U./Siemens/U. Goettingen/Siemens,0.01%,1
Columbia Univ.,0.01%,1
Columbia University,0.14%,18
Columbia University Alumni,0.01%,1
COM.lounge,0.01%,1
Com21,0.01%,1
Combitech,0.01%,1
Comcast,0.33%,44
Comcast Cable,0.06%,8
Comcast Cable Communications,0.02%,3
Comcast Corporation,0.01%,1
Comcast-NBCUniversal,0.01%,1
Comcast.,0.01%,1
Command Information,0.01%,1
Command Prompt,0.01%,1
COMMCARE telecommunications,0.01%,1
Commerce One,0.01%,1
CommerceNet,0.01%,1
Commscope,0.02%,3
Commscope Networks,0.01%,1
Communication Networks Institute,0.02%,3
Communication Research Laboratory,0.01%,1
Communication Systems Laboratory,0.02%,3
Communication Valley,0.01%,1
Communications,0.01%,1
Communications Research Centre,0.02%,2
Communications Research Lab,0.01%,1
Communications Research Laboratory,0.01%,1
CommWorks,0.02%,2
"ComNets, Hamburg University of Technology",0.01%,1
"ComNets-ikom, University of Bremen",0.01%,1
Comodo,0.02%,3
Comodo CA,0.01%,1
Comodo Group,0.02%,2
Comp-Comm Consulting,0.01%,1
Compaq,0.04%,5
Compaq Computer Corp,0.01%,1
Compaq Computer Corp.,0.01%,1
Compaq Computer Corporation,0.02%,2
Compaq WRL,0.01%,1
Compaq/W3C,0.01%,1
Compellio S.A.,0.01%,1
Competitive Computing,0.01%,1
Compression Labs,0.01%,1
Compucat Research,0.01%,1
CompuServe,0.01%,1
Compuserve Corporation,0.01%,1
Computer Architecture,0.01%,1
Computer Club West,0.01%,1
Computer Incident Response Center Luxembourg,0.03%,4
"Computer Network Information Center, Chinese Academy of Sciences",0.05%,6
Computer Network Technology,0.01%,1
Computer Science Center,0.01%,1
Computer Science Department,0.02%,2
Computer Science Laboratory,0.02%,2
"Computer Science, Tsinghua University",0.02%,3
Computer Sciences Corporation,0.01%,1
Comsat Corporation,0.01%,1
Comscope,0.01%,1
"COMSYS, RWTH Aachen",0.01%,1
"COMSYS, RWTH Aachen University",0.01%,1
Comtech TCS,0.02%,2
Comtrol Corp,0.01%,1
Comverse,0.04%,5
Comverse Network Systems,0.01%,1
Comverse Technology,0.02%,2
CONAC,0.02%,2
Concepts Beyond,0.01%,1
Concordia Univeristy,0.01%,1
Concordia University,0.02%,2
Concordia University/CIISE,0.01%,1
Concordia University/CSE,0.04%,5
Condition-ALPHA,0.01%,1
Confluent,0.01%,1
Congruent Software,0.01%,1
CongXiao Bao,0.01%,1
Connect,0.01%,1
connect.com.au pty,0.01%,1
Connect2id,0.01%,1
Connecticut College,0.01%,1
CONNOTECH,0.01%,1
Conntac,0.01%,1
Consecom AG,0.01%,1
Consensus Development,0.01%,1
Consensys,0.01%,1
Consortium GARR,0.01%,1
Consortium of Cloud Computing Research,0.02%,2
Constant Contact,0.01%,1
Constructor University,0.01%,1
Consulintel,0.03%,4
"Consulintel, S.L.",0.01%,1
Consult,0.01%,1
Consultant,0.58%,77
Content Technologies,0.01%,1
Content Technologies Limited,0.01%,1
ConteXtream,0.02%,2
Contractor,0.01%,1
Contrail Systems,0.02%,3
Control Data Systems,0.01%,1
Convedia,0.02%,3
Cooley Godward LLP,0.01%,1
CoolPad,0.01%,1
CoolTech,0.01%,1
Cooper Power Systems,0.02%,2
COPELABS,0.01%,1
"COPELABS, Universidade Lusofona",0.02%,2
"COPELABS, University Lusofona",0.02%,2
Copper Mountain Networks,0.02%,2
Cordance,0.01%,1
Core Competence,0.01%,1
Core Technology Consulting,0.01%,1
Coreon,0.01%,1
Coriant,0.03%,4
Coriant R&D,0.01%,1
CoRiTeL,0.02%,3
Cornell Tech,0.01%,1
Cornell U.,0.02%,3
Cornell Univ. Theory Center,0.01%,1
Cornell University,0.05%,7
Cornfed Systems,0.01%,1
Corning Incorporated,0.01%,1
Corona,0.01%,1
Corona Networks,0.02%,3
Corporate R&D Center,0.01%,1
Corporate Technology Group,0.01%,1
Corporation for National Research Initiatives,0.01%,1
Corrent Corp.,0.01%,1
Corrent Corporation,0.01%,1
Corriente,0.01%,1
Corrigent Systems,0.02%,3
CorVu Pty,0.01%,1
Coscend Corp.,0.01%,1
Cosine,0.01%,1
CoSine Communications,0.05%,6
CoSMo,0.02%,2
CoSMo Software,0.02%,2
CoSMo Software Consulting,0.02%,2
Counterpane Internet Security,0.01%,1
CounterPath Solutions,0.02%,3
Covad Communications,0.01%,1
Cox,0.01%,1
Cox Communications,0.02%,3
Cozy Cloud,0.01%,1
Cplane,0.02%,3
CPR,0.02%,3
CQOS,0.01%,1
CQUPT,0.02%,2
Cray,0.01%,1
Cray Communications,0.01%,1
Cray Research,0.03%,4
CRC,0.01%,1
CREATE-NET,0.04%,5
credativ,0.02%,2
Creytiv.com,0.01%,1
Critial Angle,0.01%,1
Critical Angle,0.01%,1
Critical-Angle,0.01%,1
Crocodile RCS,0.02%,2
Crossref,0.01%,1
Crossword Cybersecurity,0.01%,1
Crowdstrike,0.01%,1
CryptID,0.01%,1
CRYPTO-PRO,0.06%,8
Crypto4A,0.02%,2
Crypto4A Technologies,0.01%,1
Cryptocom,0.04%,5
Cryptography Consulting,0.01%,1
Cryptography Engineering,0.01%,1
Cryptonector,0.01%,1
CryptoNext Security,0.02%,3
CryptoPro,0.11%,14
CryptoRights Foundation,0.01%,1
Cryptosense/INRIA,0.01%,1
Cryspen,0.02%,2
Crystal Ball,0.01%,1
CS Dept. University of Bologna,0.01%,1
CS Division,0.01%,1
CS GROUP,0.02%,2
CS Waikato University,0.01%,1
CSC,0.03%,4
CSC/FUNET,0.01%,1
CSC/NASA Ames Research Center,0.01%,1
CSELT,0.01%,1
CSELT S.p.A.,0.01%,1
CSFB,0.01%,1
CSIRO,0.02%,3
CSIRO Data61,0.02%,2
cstar industries,0.02%,2
CSU Sacramento,0.01%,1
CSU San Bernardino,0.01%,1
CSU-Netsec Group,0.02%,3
CTIE Monash University,0.01%,1
"CTIE, Monash University",0.01%,1
CTL Nortel Networks,0.01%,1
CTM Insights,0.01%,1
CTTC,0.04%,5
CU Boulder,0.01%,1
CUHK,0.02%,3
CUHK(SZ),0.02%,2
Cumulus,0.02%,2
Cumulus Data Systems (UK),0.01%,1
Cumulus Networks,0.05%,7
Curity AB,0.02%,2
Curl Corporation,0.01%,1
Curveball Networks,0.01%,1
CWC,0.01%,1
"CWC, University of Oulu",0.04%,5
CWI,0.01%,1
CWI Netherlands,0.01%,1
CWRU,0.02%,2
Cyber Solutions,0.02%,2
Cyber Switching,0.01%,1
CyberArk,0.01%,1
CyberCash,0.04%,5
CyberGuard,0.01%,1
CyberGuard Corporation,0.01%,1
CyberSafe,0.01%,1
CyberSafe Corporation,0.01%,1
Cybersecurity & Privacy Senior Consultant,0.01%,1
Cybersecurity Association,0.01%,1
CyberSource,0.02%,2
cyberstorm.mu,0.02%,2
Cyclone Commerce,0.02%,2
Cygnacom,0.01%,1
CygnaCom Solutions,0.02%,2
Cygnus Solutions,0.01%,1
Cylink Corporation,0.02%,2
Cyno Technologies,0.01%,1
Cyril Magaria,0.01%,1
Cyrusoft International,0.01%,1
CZ.NIC,0.05%,7
CZNIC,0.01%,1
D-Link Corp,0.01%,1
D-Link Systems,0.01%,1
D-Trust,0.01%,1
D. Daghmehchi,0.02%,2
D. Deng,0.02%,2
D. Fedyk,0.01%,1
D. Fulker,0.01%,1
D. Garcia del Rio,0.02%,2
D. Grad,0.01%,1
D. Longley,0.01%,1
D. Marples,0.01%,1
D. van Gulik,0.01%,1
D. Zhao,0.01%,1
D3 Communications,0.01%,1
DAASI International,0.01%,1
"DACS group, EEMCS, University of Twente",0.01%,1
Daejeon University,0.01%,1
Daejon University,0.01%,1
DAFUER,0.02%,2
Dampsoft,0.01%,1
Dan Harkins,0.01%,1
Daniel Tappan,0.02%,3
Danish Maritime Authority,0.01%,1
DANTE,0.02%,3
Danube Tech,0.01%,1
Darren Shakib,0.01%,1
Dartmouth College,0.01%,1
Dascom,0.01%,1
Data Archiving and Networked Services,0.01%,1
Data Communications,0.01%,1
Data Connection,0.02%,3
Data Connection Limited,0.01%,1
Data Connection Ltd.,0.05%,6
Data General Corporation,0.01%,1
Data I/O Corp.,0.01%,1
Databus,0.01%,1
DataChannel,0.01%,1
DATAFUSION,0.01%,1
Datang Telecom,0.01%,1
DataPlane.org,0.01%,1
DataPower Technology,0.01%,1
Dataproducts Corp.,0.01%,1
DataTrails,0.02%,2
Dave Frascone,0.01%,1
Dave Nelson,0.01%,1
Dave Oran,0.01%,1
"David Allan, Nortel",0.01%,1
David B. Johnson,0.01%,1
David Crocker,0.02%,2
David E. McDysan,0.01%,1
David Oran,0.01%,1
David Ward,0.01%,1
davidreilly.com,0.01%,1
daviko,0.01%,1
Dawning Information Industry Co.,0.01%,1
Day Software,0.01%,1
DayDreamer,0.01%,1
DCA,0.01%,1
"DCS, Uni. of Glasgow",0.01%,1
DDI Alliance,0.01%,1
DDI Corporation,0.01%,1
DE-CIX,0.03%,4
DE-CIX Management,0.03%,4
DE-IX,0.01%,1
De-Yun Gao,0.02%,3
Deakin University,0.01%,1
Debanjan Saha,0.01%,1
DEC,0.05%,6
DECWRL,0.01%,1
Deepfield Networks,0.01%,1
Default Deny Security,0.01%,1
Defense Information Systems Agency,0.03%,4
Delaware State University,0.01%,1
Delft University of Technology,0.01%,1
Dell,0.16%,21
Dell EMC,0.05%,7
Dell EMC Research Europe,0.01%,1
Dell Force10 Networks,0.01%,1
Dell Products LP,0.01%,1
Dell Technologies,0.03%,4
DELL-Force10,0.04%,5
Dell/EMC,0.01%,1
DellEMC,0.02%,2
Deloitte Canada,0.01%,1
Deloitte Consulting,0.01%,1
DeLong Consulting,0.01%,1
Delta Controls,0.01%,1
Deltatec,0.01%,1
Deltathree,0.01%,1
Delvin,0.01%,1
Democritus University of Thrace,0.01%,1
Demon Internet,0.01%,1
DeNA Co,0.01%,1
DeNA Co.,0.01%,1
Dendory Networks,0.01%,1
DENIC eG,0.02%,2
Denpel Informatique,0.01%,1
Department of Computer Engineering,0.02%,3
Department of Computer Science,0.02%,2
Department of Computer Science and Engineering,0.03%,4
Department of Defense,0.01%,1
Department of Electical and Computer Engineering,0.01%,1
Department of Electrical and Computer Engineering,0.05%,6
"Department of Electronic, Electrical and Computer Engineering",0.03%,4
Department of Homeland Security,0.01%,1
Department of ICMCT,0.01%,1
Department of Information,0.02%,2
Department of Software,0.02%,3
Department007.com,0.01%,1
DePaul University,0.01%,1
Dept of Defense,0.01%,1
Dept. of Electrical and Computer Eng.,0.02%,2
Derechos Digitales,0.02%,3
"deSEC, Secure Systems Engineering",0.01%,1
"deSEC, SSE",0.01%,1
"deSEC, SSE - Secure Systems Engineering",0.01%,1
"deSEC, Technische Universität Berlin",0.01%,1
Detecon,0.02%,2
Detecon International,0.01%,1
DeTeSystem,0.01%,1
Deutsche Bundesbank,0.01%,1
Deutsche Telecom,0.02%,2
Deutsche Telecom Laboratories,0.01%,1
Deutsche Telekom,0.30%,40
Deutsche Telekom AG,0.21%,28
Deutsche Telekom Laboratories,0.02%,3
Deutsche Telekom Labs,0.01%,1
Deutsches Forschungsnetz | German National Research and Education Network,0.01%,1
Deutshe Telekom,0.01%,1
DevelopMentor,0.01%,1
Devicescape Software,0.01%,1
DFINITY - Zurich,0.01%,1
DFRI,0.01%,1
DGA MI,0.01%,1
DHL Express,0.01%,1
DHL Worldwide Express,0.01%,1
Dhofar University,0.01%,1
DHS,0.01%,1
Dialogic,0.01%,1
Dialout.Net,0.01%,1
Diamond Plus Software Development,0.01%,1
DICOM Committee,0.02%,2
Diennea,0.01%,1
Differential,0.01%,1
diffxml,0.01%,1
Digex,0.01%,1
DigiBoard,0.01%,1
DigiCert,0.05%,6
Digital,0.01%,1
Digital Bazaar,0.02%,2
Digital Equipment,0.02%,2
Digital Equipment Co.,0.02%,2
Digital Equipment Corp,0.01%,1
Digital Equipment Corp.,0.03%,4
Digital Equipment Corporation,0.11%,14
Digital Fountain,0.03%,4
Digital Governance Council,0.01%,1
Digital Island,0.02%,2
Digital Medusa,0.01%,1
Digital Railway (DSD) at Deutsche Bahn,0.01%,1
Digital Security,0.01%,1
Digital Signature Trust,0.01%,1
Digital Television Group,0.01%,1
"Digital Transformation Department, Italian Government",0.01%,1
Digital Wave Co.,0.04%,5
Digitalall,0.01%,1
DigitalOcean,0.01%,1
DigitalShtick,0.01%,1
DigitPA,0.01%,1
Digium,0.02%,2
DIKU,0.01%,1
Dinesh Verma,0.01%,1
Dipartimento per la trasformazione digitale,0.01%,1
Directory Tools and,0.01%,1
Directory Tools and Application Services,0.01%,1
DIRECTV,0.02%,2
DIRECTV Inc.,0.01%,1
"Dirk-Willem van Gulik,",0.01%,1
DISA,0.02%,2
Discord,0.01%,1
Disney,0.01%,1
Disney Streaming,0.01%,1
DisTel Research,0.01%,1
Distributed Systems Group,0.01%,1
Ditech Networks,0.01%,1
Diversinet,0.02%,2
Diversinet Corp.,0.01%,1
Divideon,0.02%,2
Divination,0.02%,2
Diwan Software Limited,0.01%,1
DJ,0.01%,1
Djinesys,0.02%,2
DKUUG,0.01%,1
DLR,0.02%,2
DMARC.org,0.02%,2
dmfs,0.01%,1
DNA Lounge,0.01%,1
DNS International,0.01%,1
DNS-MODA,0.01%,1
DNS-OARC,0.01%,1
DNS.com,0.01%,1
DNSimple,0.01%,1
Dnsmasq,0.01%,1
DO Corporation,0.01%,1
DoCoMo,0.04%,5
DOCOMO Communications,0.01%,1
DoCoMo Communications Labs USA,0.01%,1
DoCoMo Euro,0.02%,2
DoCoMo Euro-Labs,0.05%,7
DOCOMO Innovations,0.01%,1
DoCoMo Labs USA,0.02%,2
DoCoMo USA Labs,0.05%,6
DoD,0.02%,2
Dogtiger Labs,0.01%,1
DOLBY,0.01%,1
Dolby Laboratories,0.04%,5
Domain Assurance Council,0.02%,2
Dombox,0.01%,1
Domos,0.02%,2
Donald Eastlake,0.02%,2
DONG-EUI Univ,0.01%,1
DONG-EUI Univ.,0.01%,1
DONG-EUI University,0.01%,1
Dongguk Univ.,0.01%,1
Dongguk University,0.01%,1
Donuts,0.02%,2
dotgay,0.01%,1
dotRocket,0.01%,1
Double Precision,0.01%,1
Double Shot Security,0.01%,1
DoubleWide Software,0.01%,1
Dovecot Oy,0.01%,1
Dover Beach Consulting,0.02%,2
Dowdeswell Security Architecture,0.01%,1
DP Security Consulting,0.01%,1
DRA,0.01%,1
draft-nakhjiri-seamoby-ppp-ct-00.txt Motorola,0.01%,1
Dragon Research Labs,0.01%,1
DREN,0.01%,1
Dresden University,0.01%,1
Drexel University,0.04%,5
Dropbox,0.02%,2
DRS CenGen,0.01%,1
Drummond Group,0.02%,2
DShell Net Arch,0.01%,1
DSI Consulting,0.01%,1
DSTC,0.01%,1
DSTC Pty,0.02%,2
"DSTO, Australia",0.01%,1
DT,0.03%,4
DT Labs/TU Berlin,0.02%,2
DTCC,0.01%,1
DTS,0.01%,1
DU,0.01%,1
DualName,0.01%,1
Dublin Core,0.01%,1
Dublin Core Metadata Initiative,0.01%,1
Duke University,0.01%,1
Duksung Women's University,0.01%,1
Dun & Bradstreet,0.01%,1
DuraSpace,0.01%,1
Dust Networks,0.02%,2
DVB Digital Video Broadcasting Project,0.01%,1
DVB Project,0.01%,1
Dyn,0.07%,9
Dynamic Network Services,0.02%,2
dynamicsoft,0.06%,8
Dyson Technology,0.01%,1
E-MC Software,0.01%,1
E. Chung,0.01%,1
E. Crawley,0.01%,1
E. Levy-Abegnoli,0.01%,1
E. Riou,0.01%,1
EADS,0.01%,1
EADS Defence and Security Systems Limited,0.01%,1
Eantc,0.01%,1
EANTC AG,0.02%,2
EarthLink,0.01%,1
Eastlake Enterprises,0.01%,1
Easynet Global Services,0.01%,1
Eaton's Cooper Power Systems Business,0.01%,1
eB2Bcom,0.02%,3
eBay,0.04%,5
ebay Corporation,0.01%,1
Ebone,0.01%,1
eBook Technologies,0.02%,2
EBT,0.01%,1
EBU,0.01%,1
eCal,0.01%,1
eCal Corp.,0.01%,1
ECI Telecom,0.05%,7
ECIX - Megaport,0.01%,1
Ecole Normale Superieure,0.01%,1
"Ecole Normale Superieure, Paris",0.01%,1
Ecole Polytechnique,0.04%,5
Ed,0.05%,6
Ed (Avici Systems),0.01%,1
Ed.,0.07%,9
EDCO,0.02%,2
EDF R&D,0.02%,2
edgeflow,0.01%,1
Edgemoor Research Institute,0.02%,2
EdgeUno,0.01%,1
Edinburgh Napier University,0.03%,4
Edinburgh University Computing Service,0.01%,1
Editor,0.72%,95
Editor of this version,0.01%,1
"Editor, Nortel Networks",0.01%,1
"Editor, TZI/Uni Bremen",0.01%,1
Editors,0.15%,20
Eds.,0.02%,3
Edvina,0.01%,1
Edvina AB,0.01%,1
Edvina.net,0.01%,1
Edward Jones,0.01%,1
Edward Jones Wealth Management,0.01%,1
EdwardJones,0.01%,1
EE,0.01%,1
EFF,0.02%,2
Effective Software,0.01%,1
Effective Software Consulting,0.01%,1
Efficient Networks,0.01%,1
Effnet,0.01%,1
Effnet AB,0.01%,1
Ege University,0.01%,1
Eicon Technology Corporation,0.01%,1
EICT,0.02%,2
Eircom,0.01%,1
EIS Corporation,0.01%,1
EIT,0.01%,1
Eka Systems,0.02%,3
Elan Networks,0.01%,1
Elbrys Networks,0.01%,1
Eleanor Hepworth,0.01%,1
Electric Communities,0.01%,1
Electric Energy Control Test Team,0.01%,1
Electrical Computer Engineering,0.02%,2
Electricite de France,0.01%,1
Electronic Book Technologies,0.01%,1
Electronic Engineer,0.01%,1
Electronic Frontier Foundation,0.01%,1
Electronics and Telecommunications Research Institute,0.08%,10
Elektrobit,0.02%,2
Elevate Technologies,0.01%,1
Elf Tools AB,0.01%,1
Elias Dacloush,0.01%,1
eList eXpress,0.01%,1
Ellacoya,0.01%,1
Ellacoya Networks,0.01%,1
Ellison Software Consulting,0.01%,1
Eloquant,0.01%,1
ELPRO Technologies,0.01%,1
Elster,0.01%,1
Elster SAS,0.01%,1
Elster Solutions,0.01%,1
ELVIS-PLUS,0.01%,1
Elysium,0.01%,1
Emad Qaddoura,0.02%,2
Eman GNS,0.01%,1
Ember,0.02%,2
Ember Corporation,0.01%,1
EMC,0.04%,5
EMC Corporation,0.09%,12
EMC Software,0.01%,1
Emden University,0.01%,1
Emergicom,0.01%,1
Emergicon,0.01%,1
Emmanuel Baccelli,0.01%,1
EMP University,0.02%,2
Empire Technologies,0.01%,1
Emulex,0.01%,1
ENAC,0.01%,1
ENCS,0.01%,1
ENDFORCE,0.01%,1
Endless Crossword,0.01%,1
Endress + Hauser Liquid Analysis,0.01%,1
Endress + Hauser Liquid Analysis - Gerlingen,0.01%,1
Energize Urnet,0.01%,1
Energy Harvesting Solutions,0.01%,1
Energy Sciences Network,0.02%,3
Engage,0.02%,3
Engineering Networks,0.01%,1
Ennovate,0.01%,1
Ennovate Networks,0.01%,1
ENPPI,0.01%,1
Enron Communications,0.01%,1
ENS Lyon,0.01%,1
ENSICA/LAAS-CNRS,0.01%,1
ENSICA/TESA/Alcatel Alenia Space,0.01%,1
ENST,0.01%,1
ENST Paris,0.01%,1
ENST Bretagne,0.02%,3
ENST Paris,0.02%,2
ENST Telecom,0.01%,1
ENST-B,0.01%,1
ENST-Bretagne,0.01%,1
enStratus,0.01%,1
Entera,0.05%,7
Enterasys,0.01%,1
Enterasys Networks,0.02%,2
Enterasys Networks EMEA,0.02%,2
Enterprise Architects,0.01%,1
Enterprise Data Center Operators,0.01%,1
Enterprise Ethereum Alliance,0.01%,1
Entrust,0.06%,8
Entrust - nCipher Security Limited,0.01%,1
